app_exec_id,script_run_id,app__name,execution_site,start_time,duration,staging_in_duration,staging_out_duration,work_directory,file_id,host,name,size,modify,type
blast-run001-280500412:fastasplitn-1nqfnc5m,blast-run001-280500412,fastasplitn,local,35:12.3,0.105999947,0.018000126,0.007999897,blast-run001/jobs/f/fastasplitn-1nqfnc5m,,,,,,App
blast-run001-280500412:formatdb-3nqfnc5m,blast-run001-280500412,formatdb,local,35:12.4,0.114000082,0.000999928,0.003999949,blast-run001/jobs/f/formatdb-3nqfnc5m,,,,,,App
blast-run001-280500412:formatdb-2nqfnc5m,blast-run001-280500412,formatdb,local,35:12.4,0.114000082,0.000999928,0.003999949,blast-run001/jobs/f/formatdb-2nqfnc5m,,,,,,App
blast-run001-280500412:formatdb-4nqfnc5m,blast-run001-280500412,formatdb,local,35:12.5,0.159000158,0.000999928,0.006000042,blast-run001/jobs/f/formatdb-4nqfnc5m,,,,,,App
blast-run001-280500412:formatdb-7nqfnc5m,blast-run001-280500412,formatdb,local,35:12.5,0.157999992,0.000999928,0.005000114,blast-run001/jobs/f/formatdb-7nqfnc5m,,,,,,App
blast-run001-280500412:formatdb-5nqfnc5m,blast-run001-280500412,formatdb,local,35:12.7,0.114000082,0.000999928,0.004999876,blast-run001/jobs/f/formatdb-5nqfnc5m,,,,,,App
blast-run001-280500412:formatdb-9nqfnc5m,blast-run001-280500412,formatdb,local,35:12.7,0.11500001,0.000999928,0.005000114,blast-run001/jobs/f/formatdb-9nqfnc5m,,,,,,App
blast-run001-280500412:formatdb-8nqfnc5m,blast-run001-280500412,formatdb,local,35:12.8,0.120999813,0.002000093,0.006000042,blast-run001/jobs/f/formatdb-8nqfnc5m,,,,,,App
blast-run001-280500412:formatdb-6nqfnc5m,blast-run001-280500412,formatdb,local,35:12.8,0.118999958,0.000999928,0.005000114,blast-run001/jobs/f/formatdb-6nqfnc5m,,,,,,App
blast-run001-280500412:blastall-anqfnc5m,blast-run001-280500412,blastall,local,35:12.9,0.153000116,0.003000021,0.003000021,blast-run001/jobs/b/blastall-anqfnc5m,,,,,,App
blast-run001-280500412:blastall-bnqfnc5m,blast-run001-280500412,blastall,local,35:12.9,0.131999969,0.000999928,0.003000021,blast-run001/jobs/b/blastall-bnqfnc5m,,,,,,App
blast-run001-280500412:blastall-cnqfnc5m,blast-run001-280500412,blastall,local,35:13.1,0.17599988,0.000999928,0.003000021,blast-run001/jobs/b/blastall-cnqfnc5m,,,,,,App
blast-run001-280500412:blastall-dnqfnc5m,blast-run001-280500412,blastall,local,35:13.2,0.15899992,0.000999928,0.004000187,blast-run001/jobs/b/blastall-dnqfnc5m,,,,,,App
blast-run001-280500412:blastall-enqfnc5m,blast-run001-280500412,blastall,local,35:13.3,0.197999954,0.002000093,0.003000021,blast-run001/jobs/b/blastall-enqfnc5m,,,,,,App
blast-run001-280500412:blastall-fnqfnc5m,blast-run001-280500412,blastall,local,35:13.4,0.154999971,0.002000093,0.003000021,blast-run001/jobs/b/blastall-fnqfnc5m,,,,,,App
blast-run001-280500412:blastall-gnqfnc5m,blast-run001-280500412,blastall,local,35:13.6,0.112999916,0.002000093,0.002999783,blast-run001/jobs/b/blastall-gnqfnc5m,,,,,,App
blast-run001-280500412:blastall-hnqfnc5m,blast-run001-280500412,blastall,local,35:13.7,0.154999971,0.000999928,0.002999783,blast-run001/jobs/b/blastall-hnqfnc5m,,,,,,App
blast-run001-280500412:blastmerge-inqfnc5m,blast-run001-280500412,blastmerge,local,35:13.8,0.092000008,0.000999928,0.003000021,blast-run001/jobs/b/blastmerge-inqfnc5m,,,,,,App
p6-run004-3202563945:simulate-q5i5ic9m,p6-run004-3202563945,simulate,local,53:52.5,0.131000042,0.000999928,0.012000084,p6-run004/jobs/s/simulate-q5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-n5i5ic9m,p6-run004-3202563945,simulate,local,53:52.5,0.131999969,0,0.012000084,p6-run004/jobs/s/simulate-n5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-r5i5ic9m,p6-run004-3202563945,simulate,local,53:52.6,0.092999935,0,0.004000187,p6-run004/jobs/s/simulate-r5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-s5i5ic9m,p6-run004-3202563945,simulate,local,53:52.6,0.092999935,0,0.004000187,p6-run004/jobs/s/simulate-s5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-t5i5ic9m,p6-run004-3202563945,simulate,local,53:52.7,0.092000008,0,0.003999949,p6-run004/jobs/s/simulate-t5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-u5i5ic9m,p6-run004-3202563945,simulate,local,53:52.7,0.092000008,0,0.003999949,p6-run004/jobs/s/simulate-u5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-p5i5ic9m,p6-run004-3202563945,simulate,local,53:52.8,0.11500001,0,0.003999949,p6-run004/jobs/s/simulate-p5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-o5i5ic9m,p6-run004-3202563945,simulate,local,53:52.8,0.115999937,0,0.003999949,p6-run004/jobs/s/simulate-o5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-v5i5ic9m,p6-run004-3202563945,simulate,local,53:52.9,0.092000008,0,0.003999949,p6-run004/jobs/s/simulate-v5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-x5i5ic9m,p6-run004-3202563945,simulate,local,53:52.9,0.092000008,0,0.003999949,p6-run004/jobs/s/simulate-x5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-y5i5ic9m,p6-run004-3202563945,simulate,local,53:53.0,0.092999935,0,0.003999949,p6-run004/jobs/s/simulate-y5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-z5i5ic9m,p6-run004-3202563945,simulate,local,53:53.0,1.113999844,0.001000166,0.004000187,p6-run004/jobs/s/simulate-z5i5ic9m,,,,,,App
p6-run004-3202563945:simulate-06i5ic9m,p6-run004-3202563945,simulate,local,53:53.1,1.095000029,0.001999855,0.003999949,p6-run004/jobs/s/simulate-06i5ic9m,,,,,,App
p6-run004-3202563945:simulate-16i5ic9m,p6-run004-3202563945,simulate,local,53:54.2,1.099999905,0.000999928,0.003000021,p6-run004/jobs/s/simulate-16i5ic9m,,,,,,App
p6-run004-3202563945:simulate-26i5ic9m,p6-run004-3202563945,simulate,local,53:54.3,1.100999832,0.002000093,0.004999876,p6-run004/jobs/s/simulate-26i5ic9m,,,,,,App
p6-run004-3202563945:simulate-36i5ic9m,p6-run004-3202563945,simulate,local,53:55.4,1.095999956,0.000999928,0.003999949,p6-run004/jobs/s/simulate-36i5ic9m,,,,,,App
p6-run004-3202563945:simulate-46i5ic9m,p6-run004-3202563945,simulate,local,53:55.5,1.102999926,0.002000093,0.005000114,p6-run004/jobs/s/simulate-46i5ic9m,,,,,,App
p6-run004-3202563945:simulate-56i5ic9m,p6-run004-3202563945,simulate,local,53:56.6,1.099999905,0.002000093,0.003000021,p6-run004/jobs/s/simulate-56i5ic9m,,,,,,App
p6-run004-3202563945:simulate-66i5ic9m,p6-run004-3202563945,simulate,local,53:56.7,1.098999977,0.002000093,0.003000021,p6-run004/jobs/s/simulate-66i5ic9m,,,,,,App
p6-run004-3202563945:simulate-76i5ic9m,p6-run004-3202563945,simulate,local,53:57.8,1.101999998,0.002000093,0.004999876,p6-run004/jobs/s/simulate-76i5ic9m,,,,,,App
p6-run004-3202563945:simulate-86i5ic9m,p6-run004-3202563945,simulate,local,53:57.9,1.094000101,0.000999928,0.003000021,p6-run004/jobs/s/simulate-86i5ic9m,,,,,,App
p6-run004-3202563945:stats-96i5ic9m,p6-run004-3202563945,stats,local,53:59.0,0.115999937,0.006999969,0.005000114,p6-run004/jobs/s/stats-96i5ic9m,,,,,,App
,,,,,,,,,quaternion.local:testeDB:3472386:1418414895.0,quaternion.local,testeDB,3472386,1418414895,File
,,,,,,,,,quaternion.local:frag002:431845:1425321312.0,quaternion.local,frag002,431845,1425321312,File
,,,,,,,,,quaternion.local:frag003:432596:1425321312.0,quaternion.local,frag003,432596,1425321312,File
,,,,,,,,,quaternion.local:frag001:454231:1425321312.0,quaternion.local,frag001,454231,1425321312,File
,,,,,,,,,quaternion.local:frag007:429381:1425321312.0,quaternion.local,frag007,429381,1425321312,File
,,,,,,,,,quaternion.local:frag008:429560:1425321312.0,quaternion.local,frag008,429560,1425321312,File
,,,,,,,,,quaternion.local:frag006:429959:1425321312.0,quaternion.local,frag006,429959,1425321312,File
,,,,,,,,,quaternion.local:frag004:440420:1425321312.0,quaternion.local,frag004,440420,1425321312,File
,,,,,,,,,quaternion.local:frag005:424394:1425321312.0,quaternion.local,frag005,424394,1425321312,File
,,,,,,,,,quaternion.local:frag002.pin:6112:1425321312.0,quaternion.local,frag002.pin,6112,1425321312,File
,,,,,,,,,quaternion.local:frag002.psq:350164:1425321312.0,quaternion.local,frag002.psq,350164,1425321312,File
,,,,,,,,,quaternion.local:frag002.phr:124428:1425321312.0,quaternion.local,frag002.phr,124428,1425321312,File
,,,,,,,,,quaternion.local:frag001.phr:127015:1425321312.0,quaternion.local,frag001.phr,127015,1425321312,File
,,,,,,,,,quaternion.local:frag001.psq:369768:1425321312.0,quaternion.local,frag001.psq,369768,1425321312,File
,,,,,,,,,quaternion.local:frag001.pin:6112:1425321312.0,quaternion.local,frag001.pin,6112,1425321312,File
