file_id,host,name,size,modify
quaternion.local:testeDB:3472386:1418414895.0,quaternion.local,testeDB,3472386,1418414895
quaternion.local:frag002:431845:1425321312.0,quaternion.local,frag002,431845,1425321312
quaternion.local:frag003:432596:1425321312.0,quaternion.local,frag003,432596,1425321312
quaternion.local:frag001:454231:1425321312.0,quaternion.local,frag001,454231,1425321312
quaternion.local:frag007:429381:1425321312.0,quaternion.local,frag007,429381,1425321312
quaternion.local:frag008:429560:1425321312.0,quaternion.local,frag008,429560,1425321312
quaternion.local:frag006:429959:1425321312.0,quaternion.local,frag006,429959,1425321312
quaternion.local:frag004:440420:1425321312.0,quaternion.local,frag004,440420,1425321312
quaternion.local:frag005:424394:1425321312.0,quaternion.local,frag005,424394,1425321312
quaternion.local:frag002.pin:6112:1425321312.0,quaternion.local,frag002.pin,6112,1425321312
quaternion.local:frag002.psq:350164:1425321312.0,quaternion.local,frag002.psq,350164,1425321312
quaternion.local:frag002.phr:124428:1425321312.0,quaternion.local,frag002.phr,124428,1425321312
quaternion.local:frag001.phr:127015:1425321312.0,quaternion.local,frag001.phr,127015,1425321312
quaternion.local:frag001.psq:369768:1425321312.0,quaternion.local,frag001.psq,369768,1425321312
quaternion.local:frag001.pin:6112:1425321312.0,quaternion.local,frag001.pin,6112,1425321312
quaternion.local:frag003.pin:6112:1425321312.0,quaternion.local,frag003.pin,6112,1425321312
quaternion.local:frag003.phr:124434:1425321312.0,quaternion.local,frag003.phr,124434,1425321312
quaternion.local:frag003.psq:350956:1425321312.0,quaternion.local,frag003.psq,350956,1425321312
quaternion.local:frag005.psq:341243:1425321312.0,quaternion.local,frag005.psq,341243,1425321312
quaternion.local:frag005.pin:6112:1425321312.0,quaternion.local,frag005.pin,6112,1425321312
quaternion.local:frag005.phr:126062:1425321312.0,quaternion.local,frag005.phr,126062,1425321312
quaternion.local:frag004.psq:358904:1425321312.0,quaternion.local,frag004.psq,358904,1425321312
quaternion.local:frag004.pin:6112:1425321312.0,quaternion.local,frag004.pin,6112,1425321312
quaternion.local:frag004.phr:124170:1425321312.0,quaternion.local,frag004.phr,124170,1425321312
quaternion.local:frag008.pin:6104:1425321312.0,quaternion.local,frag008.pin,6104,1425321312
quaternion.local:frag008.psq:346630:1425321312.0,quaternion.local,frag008.psq,346630,1425321312
quaternion.local:frag008.phr:125676:1425321312.0,quaternion.local,frag008.phr,125676,1425321312
quaternion.local:frag007.pin:6104:1425321312.0,quaternion.local,frag007.pin,6104,1425321312
quaternion.local:frag007.phr:126335:1425321312.0,quaternion.local,frag007.phr,126335,1425321312
