EDGEID,"TYPE",HASH,SRCVERTEXHASH,DSTVERTEXHASH,"OPERATION","TIME"
1,"WasInformedBy",-1112831084,-1915321434,374586634,NULL,NULL
2,"WasInformedBy",84218234,-751752372,374586634,NULL,NULL
3,"WasInformedBy",-1649595523,260379309,-751752372,NULL,NULL
4,"WasInformedBy",1127904632,-596546936,-751752372,NULL,NULL
5,"WasInformedBy",-771959699,269427101,-751752372,NULL,NULL
6,"WasInformedBy",1027295725,-1306032355,-751752372,NULL,NULL
7,"WasInformedBy",-771958438,269427114,-751752372,NULL,NULL
8,"WasInformedBy",-1649450120,260380808,-751752372,NULL,NULL
9,"WasInformedBy",1027448888,-1306030776,-751752372,NULL,NULL
10,"WasInformedBy",-771804499,269428701,-751752372,NULL,NULL
11,"WasInformedBy",-1649440808,260380904,-751752372,NULL,NULL
12,"WasInformedBy",1027529010,-1306029950,-751752372,NULL,NULL
13,"WasInformedBy",-771726705,269429503,-751752372,NULL,NULL
14,"WasInformedBy",-1649364566,260381690,-751752372,NULL,NULL
15,"WasInformedBy",1027532599,-1306029913,-751752372,NULL,NULL
16,"WasInformedBy",-767009683,1730652573,-751752372,NULL,NULL
17,"WasInformedBy",1807407013,-1962160171,-751752372,NULL,NULL
18,"WasInformedBy",-559798877,-215443821,-751752372,NULL,NULL
19,"WasInformedBy",-1456870182,-1110252246,-751752372,NULL,NULL
20,"WasInformedBy",-807810106,1597397910,-751752372,NULL,NULL
21,"WasInformedBy",1115094822,-1836463370,-751752372,NULL,NULL
22,"WasInformedBy",-372502594,-2117467506,-751752372,NULL,NULL
23,"WasInformedBy",-963324259,-2123558451,-751752372,NULL,NULL
24,"WasInformedBy",-1535305983,-1908065103,-751752372,NULL,NULL
25,"WasInformedBy",-1298535821,-1108619933,-751752372,NULL,NULL
26,"WasInformedBy",1897134813,-1208508915,-751752372,NULL,NULL
27,"WasInformedBy",1134965456,-596474144,-751752372,NULL,NULL
28,"WasInformedBy",-448533907,-1631193187,-751752372,NULL,NULL
29,"WasInformedBy",1577702367,-1211802033,-751752372,NULL,NULL
30,"WasInformedBy",2129932894,-2091669202,-751752372,NULL,NULL
31,"WasInformedBy",1509048494,-858285698,-751752372,NULL,NULL
32,"WasInformedBy",-804243715,1730268717,-751752372,NULL,NULL
33,"WasInformedBy",-1224606969,-753633673,-751752372,NULL,NULL
34,"WasInformedBy",-245609076,142019356,-751752372,NULL,NULL
35,"WasInformedBy",-245609270,142019354,-751752372,NULL,NULL
36,"WasInformedBy",2108078011,-365051989,-751752372,NULL,NULL
37,"WasInformedBy",543002432,-1266747056,-751752372,NULL,NULL
38,"WasInformedBy",2114436361,-364986439,-751752372,NULL,NULL
39,"WasInformedBy",-1597787166,-447534798,-751752372,NULL,NULL
40,"WasInformedBy",1145199265,-1968987055,-751752372,NULL,NULL
41,"WasInformedBy",1023052380,22264300,-751752372,NULL,NULL
42,"WasInformedBy",1820725904,473267872,-751752372,NULL,NULL
43,"WasInformedBy",477544431,-1665924001,-751752372,NULL,NULL
44,"WasInformedBy",-899187837,-1414449037,-751752372,NULL,NULL
45,"WasInformedBy",1769429373,1358299309,-751752372,NULL,NULL
46,"WasInformedBy",537961718,-2140363732,-1915321434,NULL,NULL
47,"WasInformedBy",17535166,-1847778418,-751752372,NULL,NULL
48,"WasInformedBy",-1745084183,5722367,-1915321434,NULL,NULL
49,"WasInformedBy",-1048162318,701550767,5722367,NULL,NULL
50,"WasInformedBy",-1048161639,701550774,5722367,NULL,NULL
51,"WasInformedBy",-117842428,-830779756,-751752372,NULL,NULL
52,"WasInformedBy",-591057230,-1189882366,-751752372,NULL,NULL
53,"WasInformedBy",-590972355,-1189881491,-751752372,NULL,NULL
54,"WasInformedBy",-158855647,-255588399,-751752372,NULL,NULL
55,"WasInformedBy",-590457166,-481427966,-751752372,NULL,NULL
56,"WasInformedBy",-1329423121,-400490145,-751752372,NULL,NULL
57,"WasInformedBy",-1474034711,1425413119,-1915321434,NULL,NULL
58,"WasInformedBy",1696829455,439708133,-1915321434,NULL,NULL
59,"WasInformedBy",-1713298928,2087116678,-1915321434,NULL,NULL
60,"WasInformedBy",-450218902,-1498376518,-751752372,NULL,NULL
61,"WasInformedBy",-2027336258,-1812585996,-1915321434,NULL,NULL
62,"WasInformedBy",1574320876,1942838484,-1812585996,NULL,NULL
63,"WasInformedBy",-48404878,-1699125446,1942838484,NULL,NULL
64,"WasInformedBy",-146750292,54482492,-751752372,NULL,NULL
65,"WasInformedBy",1151006519,289251495,-751752372,NULL,NULL
66,"WasInformedBy",1758794719,1800969807,-751752372,NULL,NULL
67,"WasInformedBy",-844395919,2128356897,-751752372,NULL,NULL
68,"WasInformedBy",1263553384,-1790654856,-751752372,NULL,NULL
69,"WasInformedBy",1130706849,743817911,-1915321434,NULL,NULL
70,"WasInformedBy",-594271772,-1825225943,743817911,NULL,NULL
71,"WasInformedBy",1693663146,991011009,439708133,NULL,NULL
72,"WasInformedBy",1818022254,145327273,991011009,NULL,NULL
73,"WasInformedBy",529349233,282842657,-751752372,NULL,NULL
74,"WasInformedBy",-787280818,1360801235,743817911,NULL,NULL
75,"WasInformedBy",-797706551,1313863661,1360801235,"fork","978311598.819"
76,"WasInformedBy",-1405812047,1313848873,743817911,"fork","978311598.910"
77,"WasInformedBy",-540121185,1360800890,991011009,NULL,NULL
78,"WasInformedBy",-540033109,1360801798,991011009,NULL,NULL
79,"WasInformedBy",-1190019219,1313863270,1364004305,"fork","978311601.242"
80,"WasInformedBy",-1190028628,1313863270,1364004305,"fork","978311601.243"
81,"WasInformedBy",-1190028628,1313863270,1364004305,"fork","978311601.243"
82,"WasInformedBy",-1190000401,1313863270,1364004305,"fork","978311601.244"
83,"WasInformedBy",-1190000401,1313863270,1364004305,"fork","978311601.244"
84,"WasInformedBy",-1165147906,1315762837,439708133,NULL,NULL
85,"WasInformedBy",-622032232,1313860349,1315762837,"fork","978311605.738"
86,"WasInformedBy",-622032232,1313860349,1315762837,"fork","978311605.738"
87,"WasInformedBy",-787051025,1360803604,743817911,NULL,NULL
88,"WasInformedBy",-787193712,1360802133,743817911,NULL,NULL
89,"Used",-1032063809,1360802133,-167658579,"read","978311605.746"
90,"WasInformedBy",-687637853,1313860349,1315762837,"fork","978311608.042"
91,"WasInformedBy",-687609626,1313860349,1315762837,"fork","978311608.043"
92,"WasInformedBy",-687609626,1313860349,1315762837,"fork","978311608.043"
93,"WasInformedBy",-687609626,1313860349,1315762837,"fork","978311608.043"
94,"WasInformedBy",-687609626,1313860349,1315762837,"fork","978311608.043"
95,"WasInformedBy",-687609626,1313860349,1315762837,"fork","978311608.043"
96,"WasInformedBy",-687609626,1313860349,1315762837,"fork","978311608.043"
97,"WasInformedBy",-687619035,1313860349,1315762837,"fork","978311608.044"
98,"WasInformedBy",-687619035,1313860349,1315762837,"fork","978311608.044"
99,"WasInformedBy",-687619035,1313860349,1315762837,"fork","978311608.044"
100,"WasInformedBy",-687619035,1313860349,1315762837,"fork","978311608.044"
101,"WasInformedBy",-687675489,1313860349,1315762837,"fork","978311608.046"
102,"WasInformedBy",-687675489,1313860349,1315762837,"fork","978311608.046"
103,"WasInformedBy",-687675489,1313860349,1315762837,"fork","978311608.046"
104,"WasInformedBy",-687675489,1313860349,1315762837,"fork","978311608.046"
105,"WasInformedBy",-687647262,1313860349,1315762837,"fork","978311608.047"
106,"WasInformedBy",-687647262,1313860349,1315762837,"fork","978311608.047"
107,"WasInformedBy",-687647262,1313860349,1315762837,"fork","978311608.047"
108,"WasInformedBy",-687647262,1313860349,1315762837,"fork","978311608.047"
109,"WasInformedBy",-687647262,1313860349,1315762837,"fork","978311608.047"
110,"WasInformedBy",-687656671,1313860349,1315762837,"fork","978311608.048"
111,"WasInformedBy",-687656671,1313860349,1315762837,"fork","978311608.048"
112,"WasInformedBy",-687656671,1313860349,1315762837,"fork","978311608.048"
113,"WasInformedBy",-687656671,1313860349,1315762837,"fork","978311608.048"
114,"WasInformedBy",-687703716,1313860349,1315762837,"fork","978311608.049"
115,"WasInformedBy",-687703716,1313860349,1315762837,"fork","978311608.049"
116,"WasInformedBy",-687703716,1313860349,1315762837,"fork","978311608.049"
117,"WasInformedBy",-787051219,1360803602,743817911,NULL,NULL
118,"WasInformedBy",-687703716,1313860349,1315762837,"fork","978311608.049"
119,"WasInformedBy",-687703716,1313860349,1315762837,"fork","978311608.049"
120,"WasInformedBy",-683657846,1313860349,1315762837,"fork","978311608.050"
121,"WasInformedBy",-683657846,1313860349,1315762837,"fork","978311608.050"
122,"WasInformedBy",-683657846,1313860349,1315762837,"fork","978311608.050"
123,"WasInformedBy",-683657846,1313860349,1315762837,"fork","978311608.050"
124,"WasInformedBy",-683667255,1313860349,1315762837,"fork","978311608.051"
125,"WasInformedBy",-683667255,1313860349,1315762837,"fork","978311608.051"
126,"WasInformedBy",-683667255,1313860349,1315762837,"fork","978311608.051"
127,"WasInformedBy",-683667255,1313860349,1315762837,"fork","978311608.051"
128,"WasInformedBy",-683667255,1313860349,1315762837,"fork","978311608.051"
