EDGEID,"TYPE",HASH,SRCVERTEXHASH,DSTVERTEXHASH,"OPERATION","TIME"
90,"WasInformedBy",-1710942438,1270365044,2532226,NULL,NULL
91,"WasInformedBy",-549944644,1269263652,1270365044,NULL,NULL
92,"WasInformedBy",-549944741,1269263651,1270365044,NULL,NULL
93,"WasInformedBy",-1710943505,1270365033,2532226,NULL,NULL
94,"WasInformedBy",-549946789,1269263630,1270365033,NULL,NULL
95,"WasInformedBy",-549946886,1269263629,1270365033,NULL,NULL
96,"WasInformedBy",-1710943796,1270365030,2532226,NULL,NULL
97,"WasInformedBy",-549946598,1269263632,1270365030,NULL,NULL
98,"WasInformedBy",-549946695,1269263631,1270365030,NULL,NULL
99,"WasInformedBy",-1710939916,1270365070,2532226,NULL,NULL
100,"WasInformedBy",-549938798,1269263712,1270365070,NULL,NULL
101,"WasInformedBy",-549938895,1269263711,1270365070,NULL,NULL
102,"WasInformedBy",-1710939431,1270365075,2532226,NULL,NULL
103,"WasInformedBy",-1548572209,1265958895,1270365075,"fork","978314537.307"
104,"WasInformedBy",-1548572209,1265958895,1270365075,"fork","978314537.307"
105,"WasInformedBy",-1548572209,1265958895,1270365075,"fork","978314537.307"
106,"WasInformedBy",-1548572209,1265958895,1270365075,"fork","978314537.307"
107,"WasInformedBy",-1548572209,1265958895,1270365075,"fork","978314537.307"
108,"WasInformedBy",-1548543982,1265958895,1270365075,"fork","978314537.308"
109,"WasInformedBy",-1548543982,1265958895,1270365075,"fork","978314537.308"
110,"WasInformedBy",-1548543982,1265958895,1270365075,"fork","978314537.308"
111,"WasInformedBy",-1548543982,1265958895,1270365075,"fork","978314537.308"
112,"WasInformedBy",-1548543982,1265958895,1270365075,"fork","978314537.308"
113,"WasInformedBy",-1548543982,1265958895,1270365075,"fork","978314537.308"
114,"WasInformedBy",1799472140,1267518602,-505915618,NULL,NULL
115,"WasInformedBy",1799450897,1267518383,-505915618,NULL,NULL
116,"Used",-2002438807,1267518383,-148882091,"read","978314537.314"
117,"WasInformedBy",-1549108522,1265958895,1270365075,"fork","978314537.326"
118,"WasInformedBy",-1549042659,1265958895,1270365075,"fork","978314537.330"
119,"WasInformedBy",-1549992968,1265958895,1270365075,"fork","978314537.331"
120,"WasInformedBy",-1549973471,1265958902,1270365075,"fork","978314537.333"
121,"WasInformedBy",-1549973568,1265958901,1270365075,"fork","978314537.333"
122,"WasInformedBy",-1549973665,1265958900,1270365075,"fork","978314537.333"
123,"WasInformedBy",1799471170,1267518592,-505915618,NULL,NULL
124,"Used",-1993402767,1267518383,-148878691,"read","978314537.457"
